Товар,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Крим,Луганська,Львівська,Миколаївська,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернігівська,Чернівецька
Аримидекс табл.п/п/о 1мг №28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Беталок Зок табл.п/о 100мг №30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Беталок Зок табл.п/о 25мг №14,0,0,2,0,0,2,0,1,1,0,0,0,1,0,4,1,0,0,2,1,0,0,0,0,0
Беталок Зок табл.п/о 50мг №30,0,3,0,0,1,0,0,7,3,0,0,0,1,1,10,2,0,0,1,1,0,0,0,0,0
Брилинта табл. п/о 90мг №56,1,0,0,0,0,2,0,1,6,0,0,0,0,0,15,0,0,0,0,0,0,0,2,2,1
Брилинта табл.п/п/о 60мг №56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Будесонид Астразенека сусп.д/распылен.0.25мг/мл конт.2мл №20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Будесонид Астразенека сусп.д/распылен.0.5мг/мл конт.2мл №20,0,1,14,1,0,1,1,2,1,3,0,0,2,0,0,1,0,1,0,0,0,2,1,2,1
Золадекс капс.д/подкож.введ.3.6мг шприц-аплик.№1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Касодекс табл.п/п/о 150мг №28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Касодекс табл.п/п/о 50мг №28,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
Комбоглиза XR табл.п/п/о 5мг/1000мг №28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Крестор табл.п/о 10мг №28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,3
Крестор табл.п/о 20мг №28,0,1,0,0,0,1,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
Крестор табл.п/о 5мг №28,1,0,0,0,0,0,0,0,1,1,0,0,0,1,9,0,0,0,0,1,0,0,0,0,0
Крестор табл.п/п/о 40мг №28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
Ксигдуо Пролонг табл.п/п/о пролонг.действ.10/1000мг №28,1,0,2,0,0,11,0,9,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2
Ксигдуо Пролонг табл.п/п/о пролонг.действ.5/1000мг №28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0
Онглиза табл.п/п/о 5мг №30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Пульмикорт сусп.д/распылен.0.25мг/мл 2мл конт.№20,2,0,5,4,1,4,1,3,47,3,0,0,2,2,119,4,0,0,3,1,0,3,4,0,1
Пульмикорт сусп.д/распылен.0.25мг/мл 2мл конт.№20 1+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Пульмикорт сусп.д/распылен.0.5мг/мл 2мл конт.№20,4,5,47,3,4,4,4,10,4,2,0,0,9,2,43,3,1,3,6,1,0,2,1,1,5
Пульмикорт Турбухалер пор.д/инг.100мкг/д.200д.№1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Пульмикорт Турбухалер пор.д/инг.200мкг/д.100д.№1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Сероквель XR табл.пролонг.дейст.200мг №60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Сероквель XR табл.пролонг.дейст.50мг №60,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Симбикорт Турбухалер пор.д/инг.160мкг/4.5мкг/д.60д,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,45,0,1,0,0,4,0,0
Симбикорт Турбухалер пор.д/инг.320мкг/9.0мкг/д.60д,0,2,0,1,0,0,0,1,0,0,0,0,1,1,9,0,2,0,0,0,0,0,0,0,0
Симбикорт Турбухалер пор.д/инг.80мкг/4.5мкг/д.60д,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Форксига табл.п/п/о 10мг №30,1,0,50,0,0,8,0,0,2,2,0,0,0,7,16,0,0,0,0,0,0,0,0,1,1
,16,12,124,9,6,34,6,35,112,11,0,0,17,17,290,12,3,50,14,10,0,7,12,7,14
