Товар,Вінницька,Волинська,Дніпропетровська,Донецька,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Крим,Луганська,Львівська,Миколаївська,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Херсонська,Хмельницька,Черкаська,Чернігівська,Чернівецька
Аримидекс табл.п/п/о 1мг №28,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0
Беталок Зок табл.п/о 100мг №30,3,1,5,0,2,0,0,10,30,0,0,0,18,5,45,0,6,3,6,0,0,0,0,6,0
Беталок Зок табл.п/о 25мг №14,6,29,15,3,15,12,9,85,71,1,0,0,35,16,197,4,9,5,36,7,0,2,6,5,11
Беталок Зок табл.п/о 50мг №30,14,22,14,1,14,14,3,87,60,1,0,0,49,7,90,5,3,0,13,4,4,4,1,6,6
Беталок р-р д/ин.1мг/мл 5мл амп.№5,4,0,1,0,1,0,0,0,32,0,0,0,1,1,24,0,0,0,0,30,0,1,0,0,0
Брилинта табл. п/о 90мг №56,19,8,17,4,43,9,4,56,129,9,0,0,37,4,115,8,22,1,20,14,0,21,10,15,11
Брилинта табл.п/п/о 60мг №56,0,0,0,0,0,4,0,0,10,0,0,0,4,0,9,4,0,0,1,1,0,0,0,0,0
Будесонид Астразенека сусп.д/распылен.0.25мг/мл конт.2мл №20,0,0,1,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0
Будесонид Астразенека сусп.д/распылен.0.5мг/мл конт.2мл №20,6,11,35,2,9,2,7,4,83,9,0,0,13,0,23,2,5,1,10,0,0,12,1,6,4
Золадекс капс.д/подкож.введ.10.8мг шприц-аплик.№1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0
Золадекс капс.д/подкож.введ.3.6мг шприц-аплик.№1,1,0,18,0,9,8,0,4,64,0,0,0,2,2,16,1,5,0,9,4,0,1,0,0,0
Касодекс табл.п/п/о 150мг №28,0,0,3,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Касодекс табл.п/п/о 50мг №28,0,0,1,0,0,0,1,2,17,1,0,0,0,0,5,0,0,0,1,2,0,1,1,0,0
Комбоглиза XR табл.п/п/о 5мг/1000мг №28,1,0,12,0,0,3,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,1
Крестор табл.п/о 10мг №28,24,1,4,2,3,10,6,10,99,0,0,0,15,5,105,8,3,0,0,17,0,5,4,0,14
Крестор табл.п/о 20мг №28,10,2,8,0,2,5,1,10,86,0,0,0,17,6,83,7,1,2,0,11,0,0,3,1,3
Крестор табл.п/о 5мг №28,6,0,5,0,0,0,7,5,32,2,0,0,8,1,33,1,0,0,8,8,0,0,3,0,8
Крестор табл.п/п/о 40мг №28,2,0,6,0,3,1,0,8,43,0,0,0,23,1,20,7,2,2,0,4,0,1,0,1,0
Ксигдуо Пролонг табл.п/п/о пролонг.действ.10/1000мг №28,9,15,53,2,4,21,0,10,93,2,0,0,74,9,135,4,6,1,26,20,0,4,11,3,3
Ксигдуо Пролонг табл.п/п/о пролонг.действ.5/1000мг №28,3,0,13,0,0,4,1,1,33,0,0,0,1,3,19,0,0,0,0,3,0,10,1,3,0
Линпарза табл.п/п/о 150мг №56,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Онглиза табл.п/п/о 5мг №30,0,10,3,1,0,1,0,0,4,0,0,0,0,2,4,0,0,0,0,1,0,1,0,0,0
Пульмикорт сусп.д/распылен.0.25мг/мл 2мл конт.№20,43,44,62,13,70,33,19,84,200,24,0,0,97,21,184,23,33,7,33,18,0,59,18,5,41
Пульмикорт сусп.д/распылен.0.25мг/мл 2мл конт.№20 1+1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Пульмикорт сусп.д/распылен.0.5мг/мл 2мл конт.№20,52,40,216,13,83,42,50,159,391,36,0,0,154,51,437,92,64,38,61,64,0,53,66,97,76
Пульмикорт Турбухалер пор.д/инг.100мкг/д.200д.№1,1,7,1,0,3,0,1,2,12,0,0,0,9,0,4,0,0,0,1,0,0,1,0,0,2
Пульмикорт Турбухалер пор.д/инг.200мкг/д.100д.№1,16,5,0,1,0,0,1,4,20,0,0,0,0,1,7,1,2,1,0,0,0,0,2,2,1
Сероквель XR табл.пролонг.дейст.200мг №60,7,0,1,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,0
