Товар,Область,Продажи шт
АРИМИДЕКС ТАБ.П/О 1МГ #28,М.КИЇВ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,ОДЕСЬКА ОБЛАСТЬ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,ОДЕСЬКА ОБЛАСТЬ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,М.КИЇВ,2
АРИМИДЕКС ТАБ.П/О 1МГ #28,КИЇВСЬКА ОБЛАСТЬ,2
АРИМИДЕКС ТАБ.П/О 1МГ #28,ПОЛТАВСЬКА ОБЛАСТЬ,2
АРИМИДЕКС ТАБ.П/О 1МГ #28,М.КИЇВ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,КИЇВСЬКА ОБЛАСТЬ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,М.КИЇВ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,М.КИЇВ,1
АРИМИДЕКС ТАБ.П/О 1МГ #28,ВІННИЦЬКА ОБЛАСТЬ,1
БЕТАЛОК Д/ИН.1МГ/МЛ 5МЛ АМП.#5,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК Д/ИН.1МГ/МЛ 5МЛ АМП.#5,ЗАПОРІЗЬКА ОБЛАСТЬ,2
БЕТАЛОК Д/ИН.1МГ/МЛ 5МЛ АМП.#5,М.КИЇВ,2
БЕТАЛОК Д/ИН.1МГ/МЛ 5МЛ АМП.#5,М.КИЇВ,3
БЕТАЛОК ЗОК ТАБ. 100МГ #30,КИЇВСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ЖИТОМИРСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВОЛИНСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ЛЬВІВСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,КИЇВСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ЗАКАРПАТСЬКА ОБЛАСТЬ,2
БЕТАЛОК ЗОК ТАБ. 100МГ #30,КИЇВСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВОЛИНСЬКА ОБЛАСТЬ,3
БЕТАЛОК ЗОК ТАБ. 100МГ #30,СУМСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,РІВНЕНСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ЛЬВІВСЬКА ОБЛАСТЬ,2
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВОЛИНСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВОЛИНСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,М.КИЇВ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,2
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВІННИЦЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ЛЬВІВСЬКА ОБЛАСТЬ,2
БЕТАЛОК ЗОК ТАБ. 100МГ #30,М.КИЇВ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ЖИТОМИРСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВІННИЦЬКА ОБЛАСТЬ,3
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВІННИЦЬКА ОБЛАСТЬ,2
БЕТАЛОК ЗОК ТАБ. 100МГ #30,ВІННИЦЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 100МГ #30,М.КИЇВ,2
БЕТАЛОК ЗОК ТАБ. 100МГ #30,РІВНЕНСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 25МГ #14,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 25МГ #14,ОДЕСЬКА ОБЛАСТЬ,1
БЕТАЛОК ЗОК ТАБ. 25МГ #14,ОДЕСЬКА ОБЛАСТЬ,5
