Область,Товар,Количество
ВИННИЦКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,2
ВИННИЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,17
ВИННИЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,90
ВИННИЦКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,99
ВИННИЦКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,11
ВИННИЦКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,119
ВИННИЦКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,25
ВИННИЦКАЯ,Золадекс капс.д / підшк.введ.прол.дії10.8мг шпр.-аплік.з зах.мех.N1 *,1
ВИННИЦКАЯ,Золадекс капс.д / підшк.введен.прол.дії 3.6мг шпр.-аплік.з зах.мех.N1 *,10
ВИННИЦКАЯ,Касодекс табл. в / пл.об. 50мг N28 (14х2) блістер *,1
ВИННИЦКАЯ,Комбогліза XR табл. в / пл.об. 5 мг / 1000мг №28 (7х4),17
ВИННИЦКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),18
ВИННИЦКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,50
ВИННИЦКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,77
ВИННИЦКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),82
ВИННИЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,132
ВИННИЦКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,31
ВИННИЦКАЯ,Онгліза табл.в / пл.об. 5мг N30 (10х3) блістер,4
ВИННИЦКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,4
ВИННИЦКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,14
ВИННИЦКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,198
ВИННИЦКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,560
ВИННИЦКАЯ,Сероквель XR табл.прол.дії 200мг N60 (10х6) блістер,2
ВИННИЦКАЯ,Сероквель XR табл.прол.дії50мг N60 (10х6) блістер,4
ВИННИЦКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,129
ВИННИЦКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,13
ВИННИЦКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,70
ВИННИЦКАЯ,Фазлодекс р-н д / ін 250мг / 5мл предв.заполн.шпріц 5мл N2 з 2-ма стер.ігламі*,1
ВИННИЦКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,646
ВОЛЫНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,4
ВОЛЫНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,52
ВОЛЫНСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,32
ВОЛЫНСКАЯ,Брилінта табл. в / пл.об. 90мг №56 (14х4) блістер,48
ВОЛЫНСКАЯ,Будесонід Астразенека сусп.д/расп.0.5 мг/мл конт.конв.№20(5х4) карт уп***,30
ВОЛЫНСКАЯ,Крестор табл. в / пл.об. 40мг N28 (7х4),10
ВОЛЫНСКАЯ,Крестор табл. в / пл.об. 5мг N28 (14х2) блістер,21
ВОЛЫНСКАЯ,Крестор табл.в / пл.об. 20мг N28 (14х2) блістер,28
ВОЛЫНСКАЯ,Крестор табл.в / пл.об.10мг N28 (14х2),30
ВОЛЫНСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 10 / 1000мг №28 (7х4) блістер,45
ВОЛЫНСКАЯ,Ксігдуо Пролонг табл.в / пл.об.прол.дії 5 / 1000мг №28 (7х4) блістер,8
ВОЛЫНСКАЯ,Пульмікорт Турбухалер пор.д / інг. 100 мкг / доза 200 доз ***,21
ВОЛЫНСКАЯ,Пульмікорт Турбухалер пор.д / інг. 200мкг / доза 100 доз ***,5
ВОЛЫНСКАЯ,Пульмікорт сусп.д / розп.0.25мг / мл 2 мл N20 (5х4) *,50
ВОЛЫНСКАЯ,Пульмікорт сусп.д / розп.0.5мг / мл 2 мл N20 (5х4) ***,462
ВОЛЫНСКАЯ,Симбікорт Турбухалер пор.д / інг.160мкг / 4.5мкг / доза 60 доз ***,358
ВОЛЫНСКАЯ,Симбікорт Турбухалер пор.д / інг.320мкг / 9мкг / доза 60 доз ***,24
ВОЛЫНСКАЯ,Симбікорт Турбухалер пор.д / інг.80мкг / 4.5мкг / доза 60 доз ***,42
ВОЛЫНСКАЯ,Форксіга табл.в / пл.об.10мг №30 (10х3) блістер*,181
ДНЕПРОПЕТРОВСКАЯ,Аримідекс табл.в / пл.об. 1 мг N28 (14х2) блістер *,2
ДНЕПРОПЕТРОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.100мг N30 фл. *,26
ДНЕПРОПЕТРОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.25мг N14 блістер *,101
ДНЕПРОПЕТРОВСКАЯ,Беталок ЗОК табл.в / пл.об. з упов.вив.50мг N30 фл. *,70
ДНЕПРОПЕТРОВСКАЯ,Беталок р-н д / ін.1мг / мл 5 мл амп. N5 *,3
ДНЕПРОПЕТРОВСКАЯ,Брилінта табл. в / пл.об. 60мг №56 (14х4) блістер,10
